Table 1 
IRAC Observing Log


AOR	PID	Date	3.6/5.8 Center	4.5/8.0 Center	Dimensions	Angle^a	Exp. Time^b	
		(UT)	(J2000)	(J2000)	(arcmin)	(deg)	(s)	
19028992	30816	2007 Mar 30	04 23 03.9 +23 34 20	04 22 58.6 +23 41 01	51.2 x 118.3	170.9	10.4 HDR	
19030272	30816	2007 Mar 30	04 16 35.2 +28 01 08	04 16 28.8 +28 07 50	36.7 x 186.7	169.9	10.4 HDR	
19034624	30816	2007 Mar 30	04 16 05.7 +25 12 53	04 16 00.0 +25 19 34	36.7 x 185.0	170.2	10.4 HDR	
19033856	30816	2007 Mar 31	04 16 35.2 +28 01 08	04 16 28.8 +28 07 50	36.7 x 186.7	169.9	10.4 HDR	
19032576	30816	2007 Apr 2	04 35 36.6 +22 14 56	04 35 32.2 +22 21 40	94.7 x 109.3	82.2	10.4 HDR	
19036160	30816	2007 Apr 3	04 35 36.6 +22 14 56	04 35 32.2 +22 21 40	94.7 x 109.3	82.2	10.4 HDR	
21916416	40302	2007 Oct 16	04 20 24.9 +27 00 38	04 20 24.9 +27 00 38	5.5 x 5.5	79.5	52	
			04 20 18.8 +27 07 13	04 20 31.3 +26 53 58	5.5 x 5.5	79.5	52	
24242688	462	2007 Oct 16	04 22 16.8 +24 33 25	04 22 22.4 +24 26 44	5.2 x 51.0	81.0	20.8 HDR	
24243200	462	2007 Oct 16	04 20 42.5 +26 55 59	04 20 49.0 +26 49 22	56.0 x 56.0	79.9	10.4 HDR	
24243456	462	2007 Oct 16	04 20 42.5 +26 55 59	04 20 49.0 +26 49 22	56.0 x 56.0	79.9	10.4 HDR	
24243712	462	2007 Oct 16	04 45 27.0 +25 13 43	04 45 31.3 +25 07 00	5.2 x 162.4	173.0	20.8 HDR	
24243968	462	2007 Oct 16	04 41 13.5 +24 33 10	04 41 18.1 +24 26 27	5.2 x 87.3	172.8	20.8 HDR	
24244224	462	2007 Oct 16	04 40 33.0 +26 00 09	04 40 37.7 +25 53 27	5.2 x 87.3	172.3	20.8 HDR	
24244480	462	2007 Oct 16	04 34 10.9 +28 07 23	04 34 16.4 +28 00 42	10.0 x 41.4	80.9	20.8 HDR	
24244736	462	2007 Oct 16	04 34 39.0 +24 29 25	04 34 44.0 +24 22 43	5.2 x 152.7	172.0	20.8 HDR	
24244992	462	2007 Oct 16	04 33 22.5 +26 55 39	04 33 27.8 +26 48 58	5.2 x 152.7	171.2	20.8 HDR	
24245248	462	2007 Oct 16	04 29 17.2 +24 27 51	04 29 22.5 +24 21 10	5.2 x 181.7	171.4	20.8 HDR	
24245504	462	2007 Oct 16	04 27 39.0 +27 20 10	04 27 44.8 +27 13 30	5.2 x 181.7	170.4	20.8 HDR	
24245760	462	2007 Oct 16	04 26 41.6 +24 24 58	04 26 47.0 +24 18 17	5.2 x 181.7	171.1	20.8 HDR	
24246016	462	2007 Oct 16	04 24 57.8 +27 22 29	04 25 04.0 +27 15 49	5.2 x 181.7	170.0	20.8 HDR	
24246272	462	2007 Oct 16	04 21 57.7 +27 39 52	04 22 04.0 +27 33 11	5.2 x 46.2	169.7	20.8 HDR	
24246528	462	2007 Oct 16	04 21 32.2 +28 24 39	04 21 38.8 +28 18 00	5.2 x 46.2	169.3	20.8 HDR	
24246784	462	2007 Oct 16	04 34 18.8 +27 53 56	04 34 24.4 +27 47 14	10.0 x 41.4	81.1	20.8 HDR	
24242944	462	2007 Oct 23	04 22 07.1 +24 47 19	04 22 12.9 +24 40 38	5.2 x 51.0	80.5	20.8 HDR	
26472448	50584	2008 Oct 31	04 16 27.1 +20 52 57	04 16 27.1 +20 52 57	6.0 x 6.0	81.3	41.6 HDR	
			04 16 23.9 +20 59 57	04 16 32.3 +20 46 20	6.0 x 6.0	81.3	41.6 HDR	
26475008	50584	2008 Oct 31	04 27 07.2 +22 14 55	04 27 07.2 +22 14 55	6.0 x 6.0	82.0	41.6 HDR	
			04 27 00.0 +22 21 55	04 27 12.4 +22 08 10	6.0 x 6.0	82.0	41.6 HDR	
			04 26 44.9 +21 31 52	04 26 44.9 +21 31 52	6.0 x 6.0	82.0	41.6 HDR	
			04 27 12.4 +22 08 10	04 26 49.6 +21 25 10	6.0 x 6.0	82.0	41.6 HDR	
26476800	50584	2008 Oct 31	05 02 37.4 +21 54 18	05 02 37.4 +21 54 18	6.0 x 6.0	86.0	41.6 HDR	
			05 02 36.6 +22 00 56	05 02 40.5 +21 47 28	6.0 x 6.0	86.0	41.6 HDR	
			05 06 46.5 +21 04 20	05 06 46.5 +21 04 20	6.0 x 6.0	86.0	41.6 HDR	
			05 06 41.6 +21 11 39	05 06 49.4 +20 57 24	6.0 x 6.0	86.0	41.6 HDR	
26476544	50584	2008 Nov 1	04 55 45.1 +30 36 10	04 55 49.7 +30 29 38	18.0 x 9.5	82.5	41.6 HDR	
26472960	50584	2008 Nov 2	04 16 55.8 +31 40 49	04 16 55.8 +31 40 49	6.0 x 6.0	77.0	41.6 HDR	
			04 16 47.4 +31 47 10	04 17 04.2 +31 34 16	6.0 x 6.0	77.0	41.6 HDR	
			04 24 27.7 +31 03 40	04 24 27.7 +31 03 40	6.0 x 6.0	77.0	41.6 HDR	
			04 24 21.2 +31 10 09	04 24 35.5 +30 57 08	6.0 x 6.0	77.0	41.6 HDR	
			04 21 17.3 +30 51 50	04 21 17.3 +30 51 50	6.0 x 6.0	77.0	41.6 HDR	
			04 24 35.5 +30 57 08	04 21 25.1 +30 45 23	6.0 x 6.0	77.0	41.6 HDR	
			04 16 30.5 +30 37 15	04 16 30.5 +30 37 15	6.0 x 6.0	77.0	41.6 HDR	
			04 21 25.1 +30 45 23	04 16 38.3 +30 30 42	6.0 x 6.0	77.0	41.6 HDR	
26475520	50584	2008 Nov 2	04 40 53.4 +20 55 44	04 40 53.4 +20 55 44	6.0 x 6.0	84.0	41.6 HDR	
			04 40 51.6 +21 02 39	04 40 57.0 +20 49 04	6.0 x 6.0	84.0	41.6 HDR	
Notes.
a Position angle of the long axis of the map.
b Total exposure time for each position and filter. "HDR" indicates that 0.4 s exposures were also obtained.
