Table 1 
IRAC Observing Log


AOR	PID	Date	3.6/5.8 Center	4.5/8.0 Center	Dimensions	Angle^a	Exp. Time^b	
		(UT)	(J2000)	(J2000)	(arcmin)	(deg)	(s)	
			04 29 26.6 +24 39 51	04 29 28.9 +24 40 16	5.6 x 5.6	82.0	20.8 HDR	
			04 29 24.0 +24 46 58	04 29 31.8 +24 33 09	5.6 x 5.6	82.0	20.8 HDR	
5659392	173	2004 Sep 7	04 38 13.7 +20 22 59	04 38 13.5 +20 22 10	5.6 x 5.6	83.0	20.8 HDR	
			04 38 08.9 +20 28 55	04 38 18.0 +20 16 28	5.6 x 5.6	83.0	20.8 HDR	
			04 37 32.2 +18 51 54	04 37 25.4 +18 51 00	5.6 x 5.6	83.0	20.8 HDR	
			04 37 20.8 +18 57 42	04 37 36.3 +18 45 11	5.6 x 5.6	83.0	20.8 HDR	
5659648	173	2004 Sep 7	04 45 52.0 +15 56 04	04 45 51.6 +15 55 21	5.6 x 5.6	83.5	20.8 HDR	
			04 45 47.5 +16 02 07	04 45 55.9 +15 49 29	5.6 x 5.6	83.5	20.8 HDR	
			04 38 43.9 +15 46 41	04 38 37.5 +15 45 46	5.6 x 5.6	83.5	20.8 HDR	
			04 38 33.2 +15 52 30	04 38 48.2 +15 39 59	5.6 x 5.6	83.5	20.8 HDR	
5660416	173	2004 Sep 7	04 52 35.9 +17 30 50	04 52 29.3 +17 30 00	5.6 x 5.6	84.0	20.8 HDR	
			04 52 25.4 +17 36 45	04 52 39.9 +17 24 05	5.6 x 5.6	84.0	20.8 HDR	
			04 52 50.9 +16 22 31	04 52 50.2 +16 21 42	5.6 x 5.6	84.0	20.8 HDR	
			04 52 46.4 +16 28 21	04 52 54.7 +16 15 49	5.6 x 5.6	84.0	20.8 HDR	
5660928	173	2004 Sep 7	04 58 40.7 +20 46 52	04 58 40.0 +20 46 15	5.6 x 5.6	84.5	20.8 HDR	
			04 58 36.4 +20 53 01	04 58 44.0 +20 40 16	5.6 x 5.6	84.5	20.8 HDR	
			04 57 35.7 +20 14 55	04 57 29.0 +20 14 03	5.6 x 5.6	84.5	20.8 HDR	
			04 57 25.4 +20 20 48	04 57 39.4 +20 08 09	5.6 x 5.6	84.5	20.8 HDR	
5661184	173	2004 Sep 7	05 03 12.1 +25 23 44	05 03 04.9 +25 22 55	5.6 x 5.6	85.5	20.8 HDR	
			05 03 01.7 +25 29 40	05 03 15.2 +25 17 00	5.6 x 5.6	85.5	20.8 HDR	
5672960	173	2004 Sep 7	04 12 51.2 +19 37 27	04 12 51.1 +19 36 31	5.6 x 5.6	81.0	20.8 HDR	
			04 12 45.7 +19 43 03	04 12 56.7 +19 30 48	5.6 x 5.6	81.0	20.8 HDR	
			04 05 24.7 +20 09 53	04 05 18.2 +20 08 58	5.6 x 5.6	81.0	20.8 HDR	
			04 05 12.4 +20 15 37	04 05 30.4 +20 03 17	5.6 x 5.6	81.0	20.8 HDR	
5710336	173	2004 Sep 7	04 32 58.3 +17 36 01	04 32 51.7 +17 35 08	5.6 x 5.6	82.5	20.8 HDR	
			04 32 47.1 +17 41 50	04 33 03.0 +17 29 19	5.6 x 5.6	82.5	20.8 HDR	
5073920	139	2004 Sep 8	04 21 56.4 +15 29 49	04 21 56.4 +15 29 49	5.3 x 5.3	82.0	20.8 HDR	
			04 21 52.4 +15 36 27	04 22 01.1 +15 23 06	5.3 x 5.3	82.0	20.8 HDR	
5658112	173	2004 Sep 8	04 09 56.4 +24 46 52	04 09 49.7 +24 45 55	5.6 x 5.6	80.0	20.8 HDR	
			04 09 43.6 +24 52 34	04 10 02.6 +24 40 14	5.6 x 5.6	80.0	20.8 HDR	
5660160	173	2004 Sep 8	04 41 13.9 +25 56 35	04 41 06.8 +25 55 40	5.6 x 5.6	83.5	20.8 HDR	
			04 41 02.5 +26 02 27	04 41 18.4 +25 49 50	5.6 x 5.6	83.5	20.8 HDR	
5076224	139	2004 Sep 9	04 28 35.6 +26 55 46	04 28 40.7 +26 49 03	5.3 x 15.0	172.0	20.8	
5077248	139	2004 Sep 9	04 29 34.7 +26 58 55	04 29 34.7 +26 58 55	5.3 x 5.3	82.0	20.8	
			04 29 30.4 +27 05 34	04 29 39.9 +26 52 12	5.3 x 5.3	82.0	20.8	
5074432	139	2004 Sep 10	04 21 56.4 +15 29 49	04 21 56.4 +15 29 49	5.3 x 5.3	82.0	20.8 HDR	
			04 21 52.4 +15 36 27	04 22 01.1 +15 23 06	5.3 x 5.3	82.0	20.8 HDR	
5086976	139	2004 Sep 10	04 42 36.0 +29 47 12	04 42 40.5 +29 40 28	5.3 x 19.7	173.3	20.8	
5074688	139	2004 Oct 5	04 23 36.4 +26 40 07	04 23 36.4 +26 40 07	5.3 x 5.3	79.5	20.8	
			04 23 30.6 +26 46 46	04 23 42.9 +26 33 29	5.3 x 5.3	79.5	20.8	
5077760	139	2004 Oct 5	04 30 06.4 +24 25 55	04 30 06.4 +24 25 55	5.3 x 5.3	81.5	20.8	
			04 30 01.7 +24 32 34	04 30 11.8 +24 19 13	5.3 x 5.3	81.5	20.8	
5078784	139	2004 Oct 5	04 31 53.3 +24 36 11	04 31 58.4 +24 29 28	10.0 x 15.0	171.5	20.8	
5079808	139	2004 Oct 5	04 32 36.1 +24 52 05	04 32 36.1 +24 52 05	5.3 x 5.3	81.5	20.8	
			04 32 31.5 +24 58 45	04 32 41.5 +24 45 24	5.3 x 5.3	81.5	20.8	
5080832	139	2004 Oct 5	04 32 45.6 +24 27 38	04 32 50.9 +24 20 55	10.0 x 15.0	171.5	20.8	
5081856	139	2004 Oct 5	04 35 52.4 +24 09 33	04 35 53.2 +24 09 30	5.3 x 5.3	82.0	20.8	
			04 35 48.2 +24 16 12	04 35 57.3 +24 02 51	5.3 x 5.3	82.0	20.8	
3653120	6	2004 Oct 7	04 31 38.0 +18 14 20	04 31 41.3 +18 07 35	28.5 x 33.2	175.0	20.8 HDR	
5075200	139	2004 Oct 7	04 23 36.4 +26 40 07	04 23 36.4 +26 40 07	5.3 x 5.3	79.5	20.8	
			04 23 30.6 +26 46 46	04 23 42.9 +26 33 29	5.3 x 5.3	79.5	20.8	
5078272	139	2004 Oct 7	04 30 06.4 +24 25 55	04 30 06.4 +24 25 55	5.3 x 5.3	81.5	20.8	
			04 30 01.7 +24 32 34	04 30 11.8 +24 19 13	5.3 x 5.3	81.5	20.8	
5079296	139	2004 Oct 7	04 31 53.3 +24 36 11	04 31 58.4 +24 29 28	10.0 x 15.0	171.5	20.8	
5080320	139	2004 Oct 7	04 32 36.1 +24 52 05	04 32 36.1 +24 52 05	5.3 x 5.3	81.5	20.8	
			04 32 31.5 +24 58 45	04 32 41.5 +24 45 24	5.3 x 5.3	81.5	20.8	
5081344	139	2004 Oct 7	04 32 45.6 +24 27 38	04 32 50.9 +24 20 55	10.0 x 15.0	171.5	20.8	
5082368	139	2004 Oct 7	04 35 52.4 +24 09 33	04 35 53.2 +24 09 30	5.3 x 5.3	82.0	20.8	
			04 35 48.2 +24 16 12	04 35 57.3 +24 02 51	5.3 x 5.3	82.0	20.8	
5082880	139	2004 Oct 8	04 40 54.8 +26 13 24	04 40 59.8 +26 06 44	10.0 x 19.5	171.5	20.8	
5083392	139	2004 Oct 8	04 40 54.8 +26 13 24	04 40 59.8 +26 06 44	10.0 x 19.5	171.5	20.8	
5084416	139	2004 Oct 8	04 41 29.8 +26 04 12	04 41 34.8 +25 57 28	10.0 x 24.0	171.6	20.8 HDR	
5084928	139	2004 Oct 8	04 41 29.8 +26 04 12	04 41 34.8 +25 57 28	10.0 x 24.0	171.6	20.8 HDR	
5085440	139	2004 Oct 8	04 41 41.0 +25 45 47	04 41 46.1 +25 39 05	10.0 x 19.5	171.8	20.8	
5085952	139	2004 Oct 8	04 41 41.0 +25 45 47	04 41 46.1 +25 39 05	10.0 x 19.5	171.8	20.8	
6634752	139	2004 Oct 8	04 40 57.1 +25 57 27	04 41 02.1 +25 50 46	10.0 x 19.5	171.6	20.8	
6635008	139	2004 Oct 8	04 40 57.1 +25 57 27	04 41 02.1 +25 50 46	10.0 x 19.5	171.6	20.8	
4912640	94	2005 Feb 18	04 10 55.7 +25 05 43	04 10 50.1 +25 12 24	10.4 x 23.0	170.9	52 HDR	
3653888	6	2005 Feb 19	04 14 28.7 +28 12 19	04 14 23.8 +28 19 02	28.6 x 33.2	172.3	20.8 HDR	
3965184	37	2005 Feb 19	04 31 27.5 +17 06 24	04 31 27.5 +17 06 24	5.3 x 5.3	80.0	31.2 HDR	
			04 31 32.3 +16 59 43	04 31 21.9 +17 13 04	5.3 x 5.3	80.0	31.2 HDR	
			04 32 30.4 +17 31 38	04 32 30.4 +17 31 38	5.3 x 5.3	80.0	31.2 HDR	
			04 32 36.0 +17 24 53	04 32 24.8 +17 38 18	5.3 x 5.3	80.0	31.2 HDR	
			04 33 39.5 +17 51 48	04 33 39.5 +17 51 48	5.3 x 5.3	80.0	31.2 HDR	
			04 33 45.1 +17 45 14	04 33 34.0 +17 58 29	5.3 x 5.3	80.0	31.2 HDR	
			04 35 24.3 +17 51 38	04 35 24.3 +17 51 38	5.3 x 5.3	80.0	31.2 HDR	
			04 35 30.0 +17 45 05	04 35 18.9 +17 58 19	5.3 x 5.3	80.0	31.2 HDR	
			04 32 09.4 +17 57 19	04 32 09.4 +17 57 19	5.3 x 5.3	80.0	31.2 HDR	
			04 32 14.4 +17 50 44	04 32 03.9 +18 03 59	5.3 x 5.3	80.0	31.2 HDR	
			04 32 44.0 +18 03 03	04 32 44.0 +18 03 03	5.3 x 5.3	80.0	31.2 HDR	
			04 32 49.0 +17 56 17	04 32 38.5 +18 09 44	5.3 x 5.3	80.0	31.2 HDR	
			04 33 48.6 +18 10 09	04 33 48.6 +18 10 09	5.3 x 5.3	80.0	31.2 HDR	
			04 33 54.9 +18 03 23	04 33 43.1 +18 16 51	5.3 x 5.3	80.0	31.2 HDR	
			04 34 17.9 +18 30 02	04 34 17.9 +18 30 02	5.3 x 5.3	80.0	31.2 HDR	
