,NAME,OBJNAME_super,OBJNAME_recipe,MAIN_ID,CIVIL,RA,DEC,FILENAME,SNRH_pix,SNRH_res,SNRK_pix,SNRK_res,U,B,V,R,G,I,PASTEL_Teff,PASTEL_logg,PASTEL_[Fe/H],PASTEL_Flag,FILE_URL,CAL_URL,RAW_URL
195,V* V830 Tau,V830 Tau,V830 Tau ,V* V830 Tau,20171213,68.28779166666665,24.56430555555556,SDCH_20171213_0033.fits,39.88176727294922,77,35.48420715332031,68,,13.90999984741211,12.079999923706056,11.300000190734863,11.667200088500977,,,,,,https://utexas.box.com/shared/static/dgj489pn6omvr29w1w5qk6exivwx9zh7.gz,https://utexas.box.com/shared/static/s0bl48b2znv3909crhfyztaebh6gbtzy.gz,https://utexas.box.com/s/u0wmpsako62ldj08i3o0egrn9d5mcgnu
196,V* V827 Tau,V827 Tau,V827 Tau ,V* V827 Tau,20171214,68.05733333333333,18.33913888888889,SDCH_20171214_0037.fits,72.39149475097656,140,67.80108642578125,130,,14.0,12.630000114440918,12.350000381469728,11.86989974975586,,,,,,https://utexas.box.com/shared/static/zn9509cv991sbhtiul7ny5aajiqt3ukc.gz,https://utexas.box.com/shared/static/9zby7qh0ky3x2zctl9j2evam86b0bzl9.gz,https://utexas.box.com/s/xewi463h5zcrwelgz7lgnzh1ufett96n
197,V* V1023 Tau,Hubble 4,Hubble 4 ,V* V1023 Tau,20171214,64.69204166666665,28.33708333333333,SDCH_20171214_0041.fits,57.96164321899414,112,56.27656936645508,108,,14.3100004196167,12.0,11.210000038146973,11.65429973602295,,,,,,https://utexas.box.com/shared/static/swccfe314vy522dihyksu4pfyrav00mh.gz,https://utexas.box.com/shared/static/9zby7qh0ky3x2zctl9j2evam86b0bzl9.gz,https://utexas.box.com/s/xewi463h5zcrwelgz7lgnzh1ufett96n
198,V* V830 Tau,V830 Tau,V830 Tau ,V* V830 Tau,20171214,68.28791666666666,24.56377777777778,SDCH_20171214_0047.fits,55.95085525512695,108,45.82783508300781,88,,13.90999984741211,12.079999923706056,11.300000190734863,11.667200088500977,,,,,,https://utexas.box.com/shared/static/thu2mme8dahtjifl57k1xqf97ztlrqvb.gz,https://utexas.box.com/shared/static/9zby7qh0ky3x2zctl9j2evam86b0bzl9.gz,https://utexas.box.com/s/xewi463h5zcrwelgz7lgnzh1ufett96n
199,ATO J068.9955+22.6430,XEST 09-042,XEST 09-042 ,ATO J068.9955+22.6430,20171229,68.99358333333332,22.644777777777776,SDCH_20171229_0056.fits,77.43698120117188,150,55.76128005981445,107,15.369999885559082,,,,11.797300338745115,,,,,,https://utexas.box.com/shared/static/oebnvqh7y437u0p0yul1hjxs6lfx2la2.gz,https://utexas.box.com/shared/static/x2rd6ql8pozhlduiifayis7925nioaxg.gz,https://utexas.box.com/s/zy5hs7yxnizq3g0dnf248ktka3g8txrl
200,2MASS J04341099+2251445,JH 108,JH 108 ,2MASS J04341099+2251445,20171230,68.54566666666666,22.863444444444447,SDCH_20171230_0041.fits,69.18441772460938,134,60.32882690429688,116,,,15.1899995803833,,13.871100425720217,,,,,,https://utexas.box.com/shared/static/qaitszcyelhdosykdzxk5fjxks4r2ufs.gz,https://utexas.box.com/shared/static/8bwj9gbi21d4ef2z62k8qfvjelczsf8u.gz,https://utexas.box.com/s/1vxb4i6pr1b3oge763h9fp7tf794a1n0
201,HD  30171,HD 30171,HD 30171,HD  30171,20180104,71.46275,15.931694444444444,SDCH_20180104_0079.fits,78.47491455078125,151,70.9727554321289,136,,10.119999885559082,9.359999656677246,,9.196969985961914,8.439000129699707,,,,,https://utexas.box.com/shared/static/y5exyd4c689p350133x7dmer28h43s40.gz,https://utexas.box.com/shared/static/ehv0neyc5vppriyta2c5u8nkkoa51a15.gz,https://utexas.box.com/s/vrddg26bpy5mpx9voh9bgoldby5e7wx8
202,EM* LkCa    4,LkCa 4,LkCa 4 ,EM* LkCa    4,20180105,64.11541666666666,28.127388888888888,SDCH_20180105_0053.fits,58.43193435668945,112,52.75452423095703,101,,13.960000038146973,12.779999732971191,11.824999809265137,12.065400123596191,,,,,,https://utexas.box.com/shared/static/33fab4gcm2c9lnrldopvof8bo4aty6uh.gz,https://utexas.box.com/shared/static/0he90f8h76t4p0ssq45xun1iy3rux7r8.gz,https://utexas.box.com/s/j2pm6m7xpwxp5r6egtu54t9zz33sbp0c
203,HD  30171,HD 30171,HD 30171 ,HD  30171,20180107,71.462875,15.930972222222222,SDCH_20180107_0046.fits,93.43441772460938,181,72.95684814453125,140,,10.119999885559082,9.359999656677246,,9.196969985961914,8.439000129699707,,,,,https://utexas.box.com/shared/static/urfbzvlcurb70le36lal8a164yry82jn.gz,https://utexas.box.com/shared/static/3o6v8gfurwgl83g24kggjywway03xqmp.gz,https://utexas.box.com/s/ctzjlmgcfg5t4m92cub5blk4o9fpu200
204,V* V1023 Tau,Hubble 4,Hubble 4 ,V* V1023 Tau,20180112,64.69354166666666,28.337722222222222,SDCH_20180112_0039.fits,54.19815444946289,104,55.223724365234375,106,,14.3100004196167,12.0,11.210000038146973,11.65429973602295,,,,,,https://utexas.box.com/shared/static/iq6dxtr8iaaap3ulvtx2lkrcq8c7jux8.gz,https://utexas.box.com/shared/static/vngx55pr9nv3fbgqhdrvews7c0or1xqw.gz,https://utexas.box.com/s/8kuo99rknogm8dpxff4j1b8h9mfupqnp
