Spectrum,Observed,Ritz,Transition,Rel.,Aki,fik,Acc.,Ei           Ek,Lower level,Upper level,Type,TP,Line
Fe II,2.11528453,2.11528471,4727.4964,17,,,,12.7458673         -   13.3320021,3d6.(5D).6s               | 4D         | 5/2,3d6.(5D).6p                         | 6F*         | 7/2,,,L18349c148
Ti I,2.115539,2.115540,4726.928,31,,,,4.8865701         -    5.4726343,3d3.(4F).5s               | f 5F       | 5,3d3.(4F).5p                         | 5G*         | 6,,,L10989
Ti I,2.11581,2.115808,4726.323,30,,,,4.8619612         -    5.4479511,3d3.(4F).5s               | f 5F       | 3,3d3.(4F).5p                         | 5G*         | 4,,,L10989
Fe II,2.115831,2.11583118,4726.2753,1.1,,,,12.7707022         -   13.3566857,3d6.(3P2).4d              | 4D         | 5/2,3d5.(2D3).4s.4p.(3P*)               | 2D*         | 5/2,,,L18349c139
Fe II,2.1164374,2.11643750,4724.921,0.27,3600.0,0.00018,D,12.8713640         -   13.4571796,3d6.(5D).5d               | 4F         | 7/2,3d5.(2F1).4s.4p.(3P*)               | 4F*         | 5/2,,T6892c83,L18349c139
Fe I,2.116781,2.1167811,4724.154,48,,,,6.45554341        -    7.04126386,3d6.(5D).4s (6D).4d       | e 5P       | 2,3d6.4s.(6D<9/2>).4f                 | 2[3/2]*     | 1,,,L11631
Al I,2.116958,2.116954,4723.759,12000,6000000.0,0.202,B+,4.0872183         -    4.6728909,3s2.4p                    | 2P*        | 3/2,3s2.5s                              | 2S          | 1/2,,T7365,L6693
Fe II,2.11737275,2.11737275,4722.834,13,,,,12.7458673         -   13.3314241,3d6.(5D).6s               | 4D         | 5/2,3d6.(5D).6p                         | 6P*         | 5/2,,,L18349c148
Fe II,2.11794936,2.1179495,4721.5482,4,90000.0,0.005,D,12.7908695         -   13.3762669,3d6.(3P2).4d              | 4F         | 9/2,3d5.(4F).4s.4p.(3P*)                | 6D*         | 7/2,,T6892c83,L18349c148
Fe II,2.1183947,2.1183847,4720.5557,0.6bl(Fe I),,,,13.4699471         -   14.0552242,3d6.(3G).4d               | 4D         | 5/2,3d6.(5D<3>).5f                      | 2[2]*       | 3/2,,,L18349c148
Fe I,2.1183948,2.1183936,4720.555,43,,,,3.01725044        -    3.60252504,3d7.(2P).4s               | c 3P       | 2,3d6.(5D).4s.4p.(3P*)                | z 5P*       | 3,,,L11631
Ti I,2.119104,2.119104,4718.976,23,,,,4.8538921         -    5.4389704,3d3.(4F).5s               | f 5F       | 2,3d3.(4F).5p                         | 5G*         | 3,,,L10989
Fe II,2.119701,2.1196981,4717.646,0.09,,,,13.4545970         -   14.0395114,3d5.(2F1).4s.4p.(3P*)     | 4F*        | 7/2,3d6.(5D).7s                         | 4D          | 5/2,,,L18349c139
Fe I,2.120137,2.1201367,4716.676,76,,,,5.79564049        -    6.38043390,3d7.(4P).4p               | u 5D*      | 3,3d6.(5D).4s (6D).4d                 | f 5F        | 4,,,L11631
Fe I,2.1206271,2.1206272,4715.586,47,,,,5.81343520        -    6.39809335,3d7.(4P).4p               | u 5D*      | 2,3d6.(5D).4s (6D).4d                 | f 5F        | 3,,,L11631
Fe II,2.1212767,2.1212759,4714.1423,1.1,700000.0,0.038,D,12.9182220         -   13.5027013,3d6.(3H).4d               | 4I         | 9/2,3d5.(4G).4s.4p.(1P*)                | 4H*         | 7/2,,T6892c83,L18349c139
Mg I,2.121393,2.121372,4713.884,40d,45500.0,0.00921,D,6.7259951         -    7.3104479,3s.5p                     | 3P*        | 0,3s.8s                               | 3S          | 1,,"T6298c72,LS",L4832
Al I,2.121396,2.121394,4713.877,2*,640000.0,0.0576,B,5.1229514         -    5.7073982,3s2.4f                    | 2F*        | 5/2,3s2.7g                              | 2G          | 7/2,,"u36,LS",L6693
Al I,2.121396,2.121398,4713.877,2*,732000.0,0.0617,B,5.1229524         -    5.7073982,3s2.4f                    | 2F*        | 7/2,3s2.7g                              | 2G          | 9/2,,"u36,LS",L6693
Mg I,2.121952,2.121947,4712.642,1,136000.0,0.00921,D+,6.7261534         -    7.3104479,3s.5p                     | 3P*        | 1,3s.8s                               | 3S          | 1,,"T6298c72,LS",L6692
Fe I,2.122211,2.1222100,4712.066,42,,,,6.45554341        -    7.03976551,3d6.(5D).4s (6D).4d       | e 5P       | 2,3d6.4s.(6D<9/2>).4f                 | 2[5/2]*     | 2,,,L11631
Ti I,2.122394,2.1223897,4711.661,1,,,,2.5056521         -    3.0898247,3d3.(2D2).4s              | b 1D       | 2,3d2.(3P).4s.4p.(3P*)                | z 3S*       | 1,,,L10989
Fe I,2.122995,2.1229953,4710.327,29,,,,6.76400977        -    7.34801576,3d7.(4F).4d               | e 3H       | 4,3d7.(4F<7/2>).4f                    | 2[7/2]*     | 4,,,L11631
