Spectrum,Observed,Ritz,Transition,Rel.,Aki,fik,Acc.,Ei           Ek,Lower level,Upper level,Type,TP,Line
Fe II,2.2156676,2.2156678,4513.3123,0.5,23000.0,0.0014,E,13.0677952         -   13.6273745,3d6.(3F2).4d              | 4H         | 11/2,3d6.(3H).5p                         | 4I*         | 9/2,,T6892c83,L18349c139
Ti I,2.216994,2.216986,4510.612,1,,,,5.23396428        -    5.7932110,3d2.4s.(4F).4d            | 3H         | 4,3d3.(2F).4p                         | 3G*         | 3,,,L10989
Fe I,2.2184217,2.2184208,4507.709,36,,,,5.79264615        -    6.35153108,3d7.(4P).4p               | u 5D*      | 4,3d6.(5D).4s (6D).4d                 | e 7G        | 5,,,L11631
Fe II,2.2190306,2.2190303,4506.472,0.1,28000.0,0.002,E,12.9892615         -   13.5479929,3d6.(3H).4d               | 2I         | 11/2,3d5.(2I).4s.4p.(3P*)                | 2I*         | 11/2,,T6892c83,L18349c139
Fe II,2.2194938,2.2194937,4505.5319,1,,,,13.0541566         -   13.6127714,3d6.(3F2).4d              | 4H         | 13/2,3d5.(2G2).4s.4p.(3P*)               | 4H*         | 11/2,,,L18349c139
Ti I,2.22045,2.2204483,4503.592,2,,,,3.9214575         -    4.4798321,3d3.(4F).4p               | w 3G*      | 5,3d4                                 | b 3G        | 4,,,L10989
Sc I,2.2213265,2.2213250,4501.815,60,50200.0,0.00371,B+,1.4282931         -    1.9864474,3d2.(3F).4s               | 4F         | 3/2,3d.4s.(3D).4p                       | 4D*         | 3/2,,T9506,"L19272,L4189c12"
Ti I,2.221729,2.2217280,4500.998,380,75000.0,0.00555,B,1.7335189         -    2.2915719,3d3.(4P).4s               | a 5P       | 1,3d2.(3F).4s.4p.(3P*)                | z 5D*       | 1,,T8000,L10989
Fe II,2.22196,2.22196003,4500.531,0.25,,,,12.7137971         -   13.2717918,3d6.(5D).6s               | 6D         | 3/2,3d6.(5D).6p                         | 6D*         | 3/2,,,L18349c139
Fe II,2.2232173,2.2232197,4497.986,1,141000.0,0.0105,C+,10.7507828         -   11.3084614,3d6.(5D).4d               | e 4F       | 3/2,3d6.(5D).5p                         | 4F*         | 3/2,,T6892c83,L18349c139
Fe II,2.2238115,2.2238130,4496.784,0.18,6000.0,0.00045,E,12.8996498         -   13.4571796,3d6.(3H).4d               | 4G         | 5/2,3d5.(2F1).4s.4p.(3P*)               | 4F*         | 5/2,,T6892c83,L18349c139
Ti I,2.22389,2.2238911,4496.625,470,56000.0,0.00415,B,1.7393044         -    2.2968146,3d3.(4P).4s               | a 5P       | 2,3d2.(3F).4s.4p.(3P*)                | z 5D*       | 2,,T8000,L10989
Fe I,2.224213,2.2242126,4495.971,19,,,,5.70661711        -    6.26404671,3d6.(3H).4s.4p.(3P*)      | z 3I*      | 6,3d6.(5D).4s (6D).4d                 | e 5G        | 6,,,L11631
Fe II,2.22424277,2.22424282,4495.9121,1.9,,,,12.7458673         -   13.3032894,3d6.(5D).6s               | 4D         | 5/2,3d5.(2F1).4s.4p.(3P*)               | 4G*         | 5/2,,,L18349c139
Fe II,2.22427305,2.2242735,4495.8509,1.7,,,,12.7707022         -   13.3281166,3d6.(3P2).4d              | 4D         | 5/2,3d6.(5D).6p                         | 4D*         | 3/2,,,L18349c139
Fe I,2.224511,2.2245110,4495.369,8,,,,5.38520741        -    5.94256226,3d6.(5D).4s (6D).5s       | e 7D       | 3,3d6.(3G).4s.4p.(3P*)                | v 5F*       | 4,,,L11631
Fe II,2.2248313,2.2248317,4494.7228,0.6,11000.0,0.001,E,12.8973225         -   13.4545970,3d6.(5D).5d               | 4F         | 5/2,3d5.(2F1).4s.4p.(3P*)               | 4F*         | 7/2,,T6892c83,L18349c139
Ti I,2.226152,2.226156,4492.057,2,,,,5.27308384        -    5.8300268,3d2.4s.(4F).4d            | 3H         | 6,3d3.(2F).4p                         | 3G*         | 5,,,L10989
Fe I,2.226318,2.2263182,4491.721,1510,,,,5.06378173        -    5.62068415,3d6.(5D).4s.4p.(1P*)      | x 5F*      | 3,3d6.(5D).4s (6D).5s                 | e 5D        | 2,,,L11631
Fe I,2.2266253,2.2266255,4491.101,810,,,,5.08559017        -    5.64241573,3d6.(5D).4s.4p.(1P*)      | x 5F*      | 2,3d6.(5D).4s (6D).5s                 | e 5D        | 1,,,L11631
Sc I,2.2272801,2.2272796,4489.781,710,265000.0,0.0099,C,1.4282931         -    1.9849552,3d2.(3F).4s               | 4F         | 3/2,3d.4s.(3D).4p                       | 4D*         | 1/2,,T9506,"L11621,L4189c12"
Fe II,2.22773368,2.2277346,4488.8669,10,1830000.0,0.068,B+,10.7507828         -   11.3073311,3d6.(5D).4d               | e 4F       | 3/2,3d6.(5D).5p                         | 4D*         | 1/2,,T6892c83,L18349c139
Ti I,2.228011,2.2280086,4488.309,360,31000.0,0.00231,B,1.7488757         -    2.3053556,3d3.(4P).4s               | a 5P       | 3,3d2.(3F).4s.4p.(3P*)                | z 5D*       | 3,,T8000,L10989
Fe II,2.228573,2.2285722,4487.176,0.7,36000.0,0.0027,D+,10.2725501         -   10.8288892,3d6.(5D).4d               | e 6F       | 11/2,3d5.(4G).4s.4p.(3P*)                | y 6F*       | 11/2,,T6892c83,L18349c139
Fe II,2.2288062,2.22880661,4486.7069,0.5,,,,12.7850548         -   13.3413354,3d6.(5D).6s               | 4D         | 3/2,3d6.(5D).6p                         | 6F*         | 3/2,,,L18349c139
Ti I,2.228901,2.228906,4486.515,2,,,,4.6896723         -    5.2459282,3d2.4s.(4F).5s            | e 3F       | 4,3d.4s2.4p                           | q 3D*       | 3,,,L10989
Fe II,2.22975264,2.22975284,4484.8024,5,,,,12.8033198         -   13.3593643,3d6.(5D).6s               | 4D         | 1/2,3d6.(5D).6p                         | 4D*         | 1/2,,,L18349c148
Fe II,2.230705,2.2307093,4482.888,0.14,,,,13.5626165         -   14.1184226,3d6.(3G).4d               | 2I         | 11/2,3d6.(5D<1>).5f                      | 2[4]*       | 9/2,,,L18349c139
Ti I,2.231667,2.231670,4480.955,170,,,,1.7335189         -    2.2890858,3d3.(4P).4s               | a 5P       | 1,3d2.(3F).4s.4p.(3P*)                | z 5D*       | 0,,,L10989
Fe II,2.23212308,2.2321229,4480.0397,5,,,,12.6878163         -   13.2432705,3d6.(5D).6s               | 6D         | 5/2,3d6.(5D).6p                         | 6D*         | 5/2,,,L18349c148
Fe II,2.2341601,2.2341621,4475.955,0.18,19000.0,0.0019,E,12.8996498         -   13.4545970,3d6.(3H).4d               | 4G         | 5/2,3d5.(2F1).4s.4p.(3P*)               | 4F*         | 7/2,,T6892c83,L18349c139
Fe II,2.2350157,2.2350150,4474.2416,0.5,,,,12.7137971         -   13.2685325,3d6.(5D).6s               | 6D         | 3/2,3d5.(2D3).4s.4p.(3P*)               | 4D*         | 5/2,,,L18349c139
Fe I,2.2350543,2.2350544,4474.164,47,,,,5.72027099        -    6.27499663,3d7.(4P).4p               | w 5P*      | 3,3d6.(5D).4s (6D).4d                 | e 7P        | 3,,,L11631
Fe II,2.235453,2.2354536,4473.3662,0.6,,,,13.0541566         -   13.6087832,3d6.(3F2).4d              | 4H         | 13/2,3d6.(3H).5p                         | 4I*         | 11/2,,,L18349c139
Ti I,2.235507,2.2355042,4473.259,10,,,,5.41024129        -    5.96485531,3d3.(4F).4d               | 5G         | 3,3d2.4s.(4F<5/2>).4f                 | 2[3/2]*     | 2,,,L12119
Ti I,2.236549,2.236549,4471.175,1,,,,4.9328258         -    5.4871808,3d3.(4F).5s               | f 3F       | 4,3d2.4s.(4F).5p                      | 3G*         | 4,,,L10989
Fe II,2.2367482,2.2367487,4470.7759,0.9,43000.0,0.0033,D+,10.7370057         -   11.2913111,3d6.(5D).4d               | e 4F       | 5/2,3d6.(5D).5p                         | 4F*         | 5/2,,T6892c83,L18349c139
Fe II,2.23684472,2.23684472,4470.583,11,,,,12.8033198         -   13.3576014,3d6.(5D).6s               | 4D         | 1/2,3d6.(5D).6p                         | 4F*         | 3/2,,,L18349c148
Fe I,2.2371789,2.2371790,4469.915,24,,,,4.98504395        -    5.53924278,3d5.(6S).4s2.4p           | y 7P*      | 3,3d6.(5D).4s (6D).5s                 | e 5D        | 4,,,L11631
Ti I,2.23719,2.237191,4469.893,2,,,,5.25297410        -    5.8071699,3d2.4s.(4F).4d            | 3H         | 5,3d3.(2F).4p                         | 3G*         | 4,,,L10989
Fe II,2.23770886,2.23770916,4468.8566,22,,,,12.6953327         -   13.2494003,3d6.(5D).6s               | 4D         | 7/2,3d6.(5D).6p                         | 4D*         | 7/2,,,L18349c148
Fe II,2.2381286,2.2381213,4468.0186,0.6bl(Fe I),1200.0,7e-05,D,12.8660067         -   13.4199721,3d6.(3H).4d               | 4G         | 9/2,3d5.(2F1).4s.4p.(3P*)               | 4D*         | 7/2,,T6892c83,L18349c148
Fe I,2.238129,2.2381284,4468.018,51bl,,,,5.84412959        -    6.39809335,3d7.(4P).4p               | w 3D*      | 2,3d6.(5D).4s (6D).4d                 | f 5F        | 3,,,L11631
Fe I,2.2386904,2.2386905,4466.897,2630,653000.0,0.0382,C+,5.03306811        -    5.58689276,3d6.(5D).4s.4p.(1P*)      | x 5F*      | 4,3d6.(5D).4s (6D).5s                 | e 5D        | 3,,T5720,L11631
Ti I,2.238941,2.238949,4466.397,1,,,,5.1150277         -    5.6687885,3d3.(2H).4p               | 3G*        | 4,3d2.4s.(2F).4d                      | f 3H        | 4,,,L10989
Fe I,2.2391215,2.2391211,4466.037,170,,,,5.32039963        -    5.87411777,3d6.(3H).4s.4p.(3P*)      | y 5G*      | 5,3d7.(4F).5s                         | e 5F        | 4,,,L11631
Ti I,2.239211,2.2392089,4465.859,2,,,,1.87316703        -    2.4268635,3d3.(2G).4s               | a 3G       | 3,3d2.(3F).4s.4p.(3P*)                | z 3F*       | 4,,,L10989
Sc I,2.2396035,2.2396084,4465.076,12,2430.0,0.000183,B,1.4329667         -    1.9865643,3d2.(3F).4s               | 4F         | 5/2,3d.4s.(1D).4p                       | 2D*         | 5/2,,T9506,"L19272,L4189c12"
Fe I,2.2398979,2.2398990,4464.489,417,,,,5.09954435        -    5.65307019,3d6.(5D).4s.4p.(1P*)      | x 5F*      | 1,3d6.(5D).4s (6D).5s                 | e 5D        | 0,,,L11631
Sc I,2.2400811,2.2400815,4464.124,695,219000.0,0.011,B+,1.4329667         -    1.9864474,3d2.(3F).4s               | 4F         | 5/2,3d.4s.(3D).4p                       | 4D*         | 3/2,,T9506,"L11621,L4189c12"
Fe I,2.241976,2.2419735,4460.351,29,,,,6.67955657        -    7.2325702,3d7.(4F).4d               | e 5H       | 5,3d6.(3H).4s.4p.(1P*)                | 3G*         | 4,,,L11631
Fe I,2.242195,2.2421952,4459.915,29,,,,6.47361547        -    7.02657446,3d7.(2D2).4p              | t 3D*      | 3,3d6.4s.(6D).5d                      | 5G          | 4,,,L11631
Fe I,2.2426099,2.2426095,4459.09,295,,,,6.21813227        -    6.77098909,3d6.(5D).4s (6D).5p       | n 7D*      | 1,3d6.(5D).4s (6D).6s                 | g 7D        | 2,,,L11631
Fe I,2.2431507,2.2431498,4458.015,44,,,,5.53924278        -    6.09196644,3d6.(5D).4s (6D).5s       | e 5D       | 4,3d6.(3F2).4s.4p.(3P*)               | v 3D*       | 3,,,L11631
Fe II,2.24343434,2.24342911,4457.4516,9bl(Ne),,,,12.8033198         -   13.3559746,3d6.(5D).6s               | 4D         | 1/2,3d6.(5D).6p                         | 6F*         | 1/2,,,L18349c148
Fe II,2.2436013,2.24360125,4457.1199,1.6,,,,12.7707022         -   13.3233147,3d6.(3P2).4d              | 4D         | 5/2,3d5.(2F1).4s.4p.(3P*)               | 4G*         | 7/2,,,L18349c139
Fe II,2.2437615,2.2437603,4456.802,0.9,13000.0,0.0012,D+,10.4477261         -   11.0002994,3d6.(5D).4d               | 6P         | 7/2,3d6.(5D).5p                         | 6D*         | 9/2,,T6892c83,L18349c139
Ti I,2.245002,2.245003,4454.339,130,19000.0,0.000861,B',1.7393044         -    2.2915719,3d3.(4P).4s               | a 5P       | 2,3d2.(3F).4s.4p.(3P*)                | z 5D*       | 1,,T8000,L10989
Fe II,2.24524491,2.2452445,4453.8571,6,,,,12.7850548         -   13.3372628,3d6.(5D).6s               | 4D         | 3/2,3d6.(5D).6p                         | 6F*         | 5/2,,,L18349c148
Ti I,2.245355,2.245354,4453.638,1,,,,5.33249760        -    5.8846787,3d4                       | 3F1        | 4,3d3.(2F).4p                         | p 3F*       | 4,,,L10989
Ti I,2.246408,2.246408,4451.552,1,,,,4.8303632         -    5.3822854,3d3.(2G).4p               | x 1G*      | 4,3d4                                 | 1F          | 3,,,L10989
Fe II,2.2465569,2.2465564,4451.256,1,180000.0,0.011,E,13.0833683         -   13.6352538,3d6.(3F2).4d              | 4H         | 9/2,3d6.(3H).5p                         | 4G*         | 7/2,,T6892c83,L18349c139
Fe II,2.2466292,2.2466301,4451.1128,0.5,25000.0,0.0016,E,13.0677952         -   13.6196626,3d6.(3F2).4d              | 4H         | 11/2,3d5.(2H).4s.4p.(3P*)                | 4G*         | 9/2,,T6892c83,L18349c139
Ti I,2.247793,2.247796,4448.809,2,,,,4.9007125         -    5.4522938,3d3.(4F).5s               | f 3F       | 2,3d2.4s.(4F).5p                      | o 3D*       | 1,,,L10989
Fe I,2.247941,2.2479397,4448.515,1580bl,3320000.0,0.252,D+,6.11891044        -    6.67045638,3d6.(5D).4s (6D).5p       | n 7D*      | 5,3d6.(5D).4s (6D).6s                 | g 7D        | 5,,T5720,L11631
Fe II,2.248192,2.2481934,4448.019,0.17,,,,12.2056752         -   12.7571589,3d6.(3H).5s               | e 4H       | 9/2,3d6.(5D<4>).4f                      | 2[6]*       | 11/2,,,L18349c148
Fe II,2.248222,2.2482232,4447.959,0.04,,,,13.6403590         -   14.1918354,3d6.(3H).5p               | 4G*        | 5/2,3d6.(5D).6d                         | 114464      | 3/2,,,L18349c139
Ti I,2.248356,2.248355,4447.695,3,,,,4.9328258         -    5.4842699,3d3.(4F).5s               | f 3F       | 4,3d2.4s.(4F).5p                      | o 3D*       | 3,,,L10989
Fe II,2.2486562,2.2486554,4447.1004,0.3,,,,12.6502274         -   13.2015978,3d6.(5D).6s               | 6D         | 7/2,3d5.(4F).4s.4p.(3P*)                | 6F*         | 7/2,,,L18349c139
Fe I,2.2499808,2.2499810,4444.482,74,,,,5.82938837        -    6.38043390,3d7.(4P).4p               | w 3D*      | 3,3d6.(5D).4s (6D).4d                 | f 5F        | 4,,,L11631
Fe I,2.250839,2.2508389,4442.788,15,,,,5.35157038        -    5.90240588,3d6.(5D).4s (6D).5s       | e 7D       | 4,3d6.(3G).4s.4p.(3P*)                | v 5F*       | 5,,,L11631
Fe I,2.251137,2.2511409,4442.199,58bl,,,,5.64241573        -    6.19317735,3d6.(5D).4s (6D).5s       | e 5D       | 1,3d7.(2P).4p                         | w 3P*       | 0,,,L11631
Fe II,2.2523571,2.2523573,4439.7933,0.35,210000.0,0.024,E,12.9178370         -   13.4683012,3d6.(3H).4d               | 4F         | 3/2,3d5.(4G).4s.4p.(1P*)                | 4G*         | 5/2,,T6892c83,L18349c139
Ti I,2.252894,2.252892,4438.736,3,,,,4.91486021        -    5.4651938,3d3.(4F).5s               | f 3F       | 3,3d2.4s.(4F).5p                      | o 3D*       | 2,,,L10989
Ti I,2.254926,2.254925,4434.735,1*,,,,5.4036473         -    5.9534848,3d2.4s.(4F).5p            | r 3F*      | 3,3d2.4s.(4F).5d                      | h 5G        | 4,,,L10989
Ti I,2.254926,2.254929,4434.735,1*,,,,4.2426572         -    4.7924936,3d4                       | 3P2        | 0,3d3.(2P).4p                         | t 3D*       | 1,,,L10989
Sc I,2.25577,2.255753,4433.08,3,,,,4.4226444         -    4.9722800,3d.4s.(3D).5s             | 2D         | 3/2,3d.4s.(3D).5p                       | 2F*         | 5/2,,,L4189c12
Fe I,2.2558147,2.2558153,4432.988,31,,,,5.86098438        -    6.41060472,3d7.(4P).4p               | w 3D*      | 1,3d6.(5D).4s (6D).4d                 | f 5F        | 2,,,L11631
Fe I,2.256418,2.2564165,4431.803,31,,,,6.25289818        -    6.80237209,3d6.(5D).4s (6D).5p       | n 7F*      | 3,3d6.4s.(6D).6s                      | 5D          | 3,,,L11631
Fe II,2.2570589,2.2570592,4430.5446,0.33,,,,13.3861576         -   13.9354750,3d5.(4F).4s.4p.(3P*)      | 6D*        | 9/2,3d6.(5D).7s                         | 6D          | 9/2,,,L18349c139
Fe I,2.2585052,2.2585049,4427.707,71,,,,6.20568115        -    6.75464698,3d6.(5D).4s (6D).5p       | n 7F*      | 5,3d6.4s.(6D).6s                      | 5D          | 4,,,L11631
Fe II,2.2587431,2.2587431,4427.241,0.6,260000.0,0.015,E,13.0914511         -   13.6403590,3d6.(3F2).4d              | 4H         | 7/2,3d6.(3H).5p                         | 4G*         | 5/2,,T6892c83,L18349c139
Fe II,2.2597619,2.2597619,4425.245,0.21,,,,13.3168722         -   13.8655327,3d6.(3F2).4d              | 2D         | 5/2,3d6.(3F2).5p                        | 2F*         | 5/2,,,L18349c139
Fe II,2.261244,2.2612473,4422.344,0.11,,,,12.7831241         -   13.3314241,3d6.(3P2).4d              | 4D         | 7/2,3d6.(5D).6p                         | 6P*         | 5/2,,,L18349c139
Ca I,2.26141,,4422.02,20,,,,,|            |,|             |,,,L6097
Fe II,2.261543,2.2615393,4421.76,0.07,,,,12.9570132         -   13.5052424,3d5.(2D3).4s.4p.(3P*)     | 4F*        | 3/2,3d6.(3G).4d                         | 4D          | 1/2,,,L18349c139
Fe I,2.262601,2.2626011,4419.692,4570,,,,4.99127081        -    5.53924278,3d6.(5D).4s.4p.(1P*)      | x 5F*      | 5,3d6.(5D).4s (6D).5s                 | e 5D        | 4,,,L11631
Ti I,2.262739,2.2627331,4419.423,57*,,,,5.45287117        -    6.00081118,3d3.4d                    | 5P         | 2,3d2.4s.(4F<9/2>).4f                 | 2[3/2]*     | 2,,,L10989
Ti I,2.262739,2.2627378,4419.423,57*,5000.0,0.000274,C+,1.7488757         -    2.2968146,3d3.(4P).4s               | a 5P       | 3,3d2.(3F).4s.4p.(3P*)                | z 5D*       | 2,,T8000,L10989
Fe II,2.2627401,2.26274241,4419.421,0.2,,,,12.6953327         -   13.2432705,3d6.(5D).6s               | 4D         | 7/2,3d6.(5D).6p                         | 6D*         | 5/2,,,L18349c139
Ca I,2.26311,,4418.698,25,,,,,|            |,|             |,,,L6097
Fe II,2.263166,2.2631659,4418.5889,0.22,,,,13.5989964         -   14.1468316,3d6.(3G).4d               | 2H         | 11/2,3d6.(3G).5p                         | 4H*         | 11/2,,,L18349c139
Ti I,2.263891,2.2638919,4417.173,28,4000.0,0.000307,B,1.87920395        -    2.4268635,3d3.(2G).4s               | a 3G       | 4,3d2.(3F).4s.4p.(3P*)                | z 3F*       | 4,,T8000,L10989
Sc I,2.2643348,2.2643302,4416.308,60,7200.0,0.00069,C,1.4394858         -    1.9870393,3d2.(3F).4s               | 4F         | 7/2,3d.4s.(3D).4p                       | 4F*         | 9/2,,T9506,"L19272,L4189c12"
Ca I,2.265741,,4413.567,30,,,,,|            |,|             |,,,L6097
Sc I,2.2662951,2.2662960,4412.488,250,72000.0,0.00416,B,1.4394858         -    1.9865643,3d2.(3F).4s               | 4F         | 7/2,3d.4s.(1D).4p                       | 2D*         | 5/2,,T9506,"L11621,L4189c12"
Sc I,2.26677,2.266746,4411.56,4,,,,5.816663          -    6.3636326,| 2D         | 3/2,| *           | 3/2 or 5/2,,,L4189c12
Ti I,2.267646,2.2676450,4409.86,4,,,,5.5360591         -    6.08281224,3d4                       | 3P1        | 2,3d3.(4F<3/2>).4f                    | 2[7/2]*     | 3,,,L12119
Al I,2.268364,2.268358,4408.464,1,11600.0,0.000892,C+,4.8266321         -    5.3732134,3s2.nd                    | y 2D       | 3/2,3s2.6p                              | 2P*         | 3/2,,"u36,LS",L6693
Fe I,2.269071,2.2690694,4407.09,23,,,,5.85168345        -    6.39809335,3d6.(3F2).4s.4p.(3P*)     | x 3F*      | 2,3d6.(5D).4s (6D).4d                 | f 5F        | 3,,,L11631
Fe II,2.26923791,2.26923780,4406.7658,14,,,,12.7850548         -   13.3314241,3d6.(5D).6s               | 4D         | 3/2,3d6.(5D).6p                         | 6P*         | 5/2,,,L18349c148
Al I,2.269833,2.269833,4405.61,4,115000.0,0.00446,C+,4.8266321         -    5.3728582,3s2.nd                    | y 2D       | 3/2,3s2.6p                              | 2P*         | 1/2,,"u36,LS",L6693
Sc I,2.26992,2.269922,4405.44,4,,,,4.4318939         -    4.9780985,3d.4s.(3D).5s             | 2D         | 5/2,3d.4s.(3D).5p                       | 2F*         | 7/2,,,L4189c12
Al I,2.270685,2.270704+,4403.957,3,,,,4.8271968         -    5.3732134,3s2.nd                    | y 2D       | 5/2,3s2.6p                              | 2P*         | 3/2,,,L10321c14
Al I,2.270698,2.270704+,4403.932,3,,,,4.8271968         -    5.3732134,3s2.nd                    | y 2D       | 5/2,3s2.6p                              | 2P*         | 3/2,,,L10321c14
Al I,2.270708,2.270704,4403.913,13hfs,104000.0,0.00535,B,4.8271968         -    5.3732134,3s2.nd                    | y 2D       | 5/2,3s2.6p                              | 2P*         | 3/2,,"u36,LS",L10321c150
Al I,2.270712,2.270704+,4403.905,3,,,,4.8271968         -    5.3732134,3s2.nd                    | y 2D       | 5/2,3s2.6p                              | 2P*         | 3/2,,,L10321c14
Al I,2.270729,2.270704+,4403.872,4,,,,4.8271968         -    5.3732134,3s2.nd                    | y 2D       | 5/2,3s2.6p                              | 2P*         | 3/2,,,L10321c14
Fe I,2.2708604,2.2708600,4403.617,45,,,,5.82793998        -    6.37391903,3d7.(4F).5s               | e 5F       | 5,3d6.(3G).4s.4p.(3P*)                | x 3H*       | 4,,,L11631
Fe II,2.2711554,2.2711560,4403.0453,0.25,10000.0,0.001,E,12.8713640         -   13.4172719,3d6.(5D).5d               | 4F         | 7/2,3d5.(2F1).4s.4p.(3P*)               | 4F*         | 9/2,,T6892c83,L18349c139
Ti I,2.271237,2.2712377,4402.888,6,,,,5.5360591         -    6.08194737,3d4                       | 3P1        | 2,3d3.(4F<3/2>).4f                    | 2[5/2]*     | 3,,,L12119
Fe II,2.271526,2.2715182,4402.327,0.05,,,,13.4569502         -   14.0027710,3d6.(3G).4d               | 4G         | 7/2,3d6.(5D<4>).5f                      | 2[5]*       | 9/2,,,L18349c139
Fe II,2.2728864,2.2728879,4399.692,0.14,,,,13.6887084         -   14.2342003,3d6.(3F2).5p              | 4F*        | 3/2,3d6.(5D).6d                         | 4G          | 5/2,,,L18349c139
Ti I,2.27403,2.274031,4397.479,3,,,,4.2252086         -    4.7704264,3d2.(1G).4s.4p.(3P*)      | v 3F*      | 3,3d4                                 | 3D          | 2,,,L10989
Fe I,2.2741231,2.2741228,4397.299,49,,,,5.72027099        -    6.26546671,3d7.(4P).4p               | w 5P*      | 3,3d6.(5D).4s (6D).4d                 | f 5D        | 3,,,L11631
Fe I,2.274519,2.2745231,4396.534,39,,,,5.38520741        -    5.93030716,3d6.(5D).4s (6D).5s       | e 7D       | 3,3d6.(3G).4s.4p.(3P*)                | w 5G*       | 2,,,L11631
Fe I,2.2746642,2.2746623,4396.253,590,,,,6.20026651        -    6.74533292,3d6.(5D).4s (6D).5p       | n 7D*      | 2,3d6.(5D).4s (6D).6s                 | g 7D        | 3,,,L11631
Fe II,2.27544022,2.2754402,4394.754,3.2,,,,12.7458673         -   13.2907474,3d6.(5D).6s               | 4D         | 5/2,3d6.(5D).6p                         | 6P*         | 7/2,,,L18349c148
Fe I,2.2776557,2.2776579,4390.479,72,,,,6.80421351        -    7.34856303,3d7.(4F).4d               | e 3P       | 2,3d7.(4F<7/2>).4f                    | 2[5/2]*     | 2,,,L11631
Fe II,2.277902,2.2779038,4390.004,0.17,,,,13.4172719         -   13.9615627,3d5.(2F1).4s.4p.(3P*)     | 4F*        | 9/2,3d6.(5D).7s                         | 6D          | 7/2,,,L18349c139
Fe I,2.2798475,2.2798477,4386.258,71,,,,5.33029109        -    5.87411777,3d6.(3H).4s.4p.(3P*)      | z 5H*      | 5,3d7.(4F).5s                         | e 5F        | 4,,,L11631
Fe I,2.2800897,2.2800889,4385.792,48,,,,6.80421351        -    7.34798266,3d7.(4F).4d               | e 3P       | 2,3d7.(4F<7/2>).4f                    | 2[7/2]*     | 3,,,L11631
Fe I,2.280458,2.2804585,4385.083,15,,,,5.74214676        -    6.28582776,3d7.(4P).4p               | w 5P*      | 2,3d6.(5D).4s (6D).4d                 | f 5D        | 2,,,L11631
Mg I,2.281397,2.281401,4383.279,45,1490000.0,0.149,B+,6.7189834         -    7.2624398,3s.4d                     | 3D         | 3,3s.6f                               | 3F*         | 4,,"T6298c72,LS",L6692
Mg I,2.281425,2.281421,4383.225,30*,1320000.0,0.144,B+,6.7189881         -    7.2624398,3s.4d                     | 3D         | 2,3s.6f                               | 3F*         | 3,,"T6298c72,LS",L6692
Mg I,2.281425,2.281427,4383.225,30*,,,,6.7189834         -    7.2624336,3s.4d                     | 3D         | 3,3s.6f                               | 1F*         | 3,,,L6692
Mg I,2.281449,2.281442,4383.179,25*,1250000.0,0.162,B,6.7189932         -    7.2624398,3s.4d                     | 3D         | 1,3s.6f                               | 3F*         | 2,,"T6298c72,LS",L6692
Mg I,2.281449,2.281447,4383.179,25*,,,,6.7189881         -    7.2624336,3s.4d                     | 3D         | 2,3s.6f                               | 1F*         | 3,,,L6692
Fe I,2.2818816,2.2818812,4382.348,93,,,,5.79264615        -    6.33598817,3d7.(4P).4p               | u 5D*      | 4,3d6.(5D).4s (6D).4d                 | f 5F        | 5,,,L11631
Fe II,2.281947,2.2819474,4382.222,0.5,44000.0,0.0034,D+,9.8358352         -   10.3791615,3d5.(6S).4s.4p.(1P*)      | x 6P*      | 7/2,3d6.(5D).4d                         | 6D          | 7/2,,T6892c83,L18349c139
Fe II,2.282546,2.2825490,4381.072,0.07bl(Ne),5000.0,0.00041,E,12.9472309         -   13.4904140,3d6.(5D).5d               | 6F         | 5/2,3d6.(3P2).5p                        | 4P*         | 5/2,,T6892c83,L18349c148
Fe II,2.28305858,2.2830586,4380.0891,5,,,,12.7850548         -   13.3281166,3d6.(5D).6s               | 4D         | 3/2,3d6.(5D).6p                         | 4D*         | 3/2,,,L18349c148
Fe I,2.2838594,2.2838595,4378.553,427,,,,5.09954435        -    5.64241573,3d6.(5D).4s.4p.(1P*)      | x 5F*      | 1,3d6.(5D).4s (6D).5s                 | e 5D        | 1,,,L11631
Fe II,2.28441976,2.2844199,4377.4792,3.6,,,,12.7290536         -   13.2717918,3d6.(5D).6s               | 6D         | 1/2,3d6.(5D).6p                         | 6D*         | 3/2,,,L18349c148
Fe I,2.2852169,2.2852175,4375.952,427,,,,5.82793998        -    6.37048876,3d7.(4F).5s               | e 5F       | 5,3d6.(5D).4s (6D).5p                 | u 5F*       | 4,,,L11631
Fe I,2.286575,2.2865740,4373.353,12,,,,5.10547240        -    5.64769932,3d8                       | 3P         | 1,3d6.(3P2).4s.4p.(3P*)               | x 3D*       | 1,,,L11631
Fe II,2.2888405,2.28884019,4369.0244,0.9,,,,12.7707022         -   13.3123923,3d6.(3P2).4d              | 4D         | 5/2,3d5.(2D1).4s.4p.(3P*)               | 4D*         | 5/2,,,L18349c139
Fe I,2.2888751,2.2888753,4368.958,38,,,,5.83875215        -    6.38043390,3d6.(3F2).4s.4p.(3P*)     | x 3F*      | 3,3d6.(5D).4s (6D).4d                 | f 5F        | 4,,,L11631
Ti I,2.289629,2.2896258,4367.52,130,,,,2.2363294         -    2.7778336,3d3.(2H).4s               | a 3H       | 4,3d2.(3F).4s.4p.(3P*)                | z 1F*       | 3,,,L10989
